Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
EQC,,,,,,,,,0,0,FALSE,1.58,TRUE
ARNC,,,,,,,,,16,0,FALSE,,TRUE
CKPT/RT,,,,,,,,,25996,0,TRUE,,TRUE
PSTX/RT,,,,,,,,,4089,-754,FALSE,,TRUE
TECX/RT,,,,,,,,,1,0,FALSE,,TRUE
BLUE/RT,,,,,,,,,27841,-3949,TRUE,,TRUE
TRAW/RT,,,,,,,,,1613,0,FALSE,,TRUE
RVIC/RT,,,,,,,,,0,-310,FALSE,,TRUE
EQC/RT,,,,,,,,,0,-51207,FALSE,,TRUE
CUROQ/RT,,,,,,,,,100,0,FALSE,,TRUE
UNXLQ,,,,,,,,,2726,0,FALSE,,TRUE
RTK/ESC,,,,,,,,,23826,0,FALSE,,TRUE
KDNY/RT,,,,,,,,,2366,0,FALSE,,TRUE
ICVX/RT,,,,,,,,,720,-2824,FALSE,,TRUE
DM,,,,,,,,,261209,-19114,TRUE,,TRUE
CHBT,,,,,,,,,100,0,FALSE,,TRUE
CGRQ/RT,,,,,,,,,100,-1,FALSE,,TRUE
LEHM/ESC,,,,,,,,,131260,0,FALSE,,TRUE
CAGC,,,,,,,,,106,0,FALSE,,TRUE
BKUNQ,,,,,,,,,18415,0,FALSE,,TRUE
ESLRQ,,,,,,,,,5000,0,FALSE,,TRUE
HNR,,,,,,,,,0,-36199,FALSE,,TRUE
INPC,,,,,,,,,6201,0,FALSE,,TRUE
OCZTQ,,,,,,,,,225483,0,FALSE,,TRUE
CWTRQ,,,,,,,,,8000,0,FALSE,,TRUE
KWKAQ,,,,,,,,,269130,0,FALSE,,TRUE
FSRNQ,,,,,,,,,812787,-231443,TRUE,,TRUE
JNCE/RT,,,,,,,,,60,-312,FALSE,,TRUE
PVLA/RT,,,,,,,,,312,0,FALSE,,TRUE
AGLE/RT,,,,,,,,,572,0,FALSE,,TRUE
LLEN,,,,,,,,,197,0,FALSE,,TRUE
AFHIF,,,,,,,,,13252,-3000,FALSE,,TRUE
EXPRQ,,,,,,,,,3392,-343,FALSE,,TRUE
SQBGQ,,,,,,,,,0,-2,FALSE,,TRUE
TNTRQ,,,,,,,,,0,-1144,FALSE,,TRUE
YGYI,,,,,,,,,1550,0,FALSE,,TRUE
WAVXQ,,,,,,,,,1121,0,FALSE,,TRUE
WTSLQ,,,,,,,,,29590,0,FALSE,,TRUE
FABU,,,,,,,,,900,0,FALSE,,TRUE
FNHCQ,,,,,,,,,3982,0,FALSE,,TRUE
SEEL/RT,,,,,,,,,17,0,TRUE,,TRUE
HEVVQ,,,,,,,,,6890,-33,FALSE,,TRUE
DDMGQ,,,,,,,,,7100,0,FALSE,,TRUE
CCME,,,,,,,,,2132,0,FALSE,,TRUE
WLTGQ,,,,,,,,,772970,0,TRUE,,TRUE
UNTC/W,,,,,,,,,729,0,FALSE,,TRUE
ENERQ,,,,,,,,,300,0,FALSE,,TRUE
NGNE/RT,,,,,,,,,299,0,FALSE,,TRUE
SPHS,,,,,,,,,4594,0,TRUE,,TRUE
PSTH/RT,,,,,,,,,126739,-66999,TRUE,,TRUE
PHASQ,,,,,,,,,0,-82,FALSE,,TRUE
PGNPQ,,,,,,,,,27432,0,FALSE,,TRUE
AEZS/RT,,,,,,,,,34,-604,FALSE,,TRUE
OIGBQ,,,,,,,,,1350,-93,FALSE,,TRUE
CNCE/RT,,,,,,,,,2200,-1100,FALSE,,TRUE
NEWYY,,,,,,,,,3240,-1,FALSE,,TRUE
MTL,,,,,,,,,11764,0,TRUE,,TRUE
MIRO/RT,,,,,,,,,1700,0,FALSE,,TRUE
LGFTY,,,,,,,,,7844,-1040,FALSE,,TRUE
ASRT/RT,,,,,,,,,105380,-34248,TRUE,,TRUE
RUBY,,,,,,,,,15400,0,FALSE,,TRUE
HUGE/RT,,,,,,,,,20972,-3319,TRUE,,TRUE
RGTPQ,,,,,,,,,1871,0,FALSE,,TRUE
HGENQ,,,,,,,,,24723,0,FALSE,,TRUE
FREQ/RT,,,,,,,,,4692,0,FALSE,,TRUE
AREC/PH,,,,,,,,,318,-709,FALSE,,TRUE
ENDRQ,,,,,,,,,57985,0,FALSE,,TRUE
DRWIQ,,,,,,,,,199,0,FALSE,,TRUE
VELTF,,,,,,,,,83672,0,FALSE,,TRUE
SHLDQ,,,,,,,,,189409,-9749,FALSE,,TRUE
SFXEQ,,,,,,,,,32106,0,FALSE,,TRUE
CHAP/B,,,,,,,,,16,0,FALSE,,TRUE
ATPAQ,,,,,,,,,61670,0,FALSE,,TRUE
GMDAQ,,,,,,,,,185872,0,FALSE,,TRUE
KNTE/RT,,,,,,,,,118990,0,FALSE,,TRUE
COCOQ,,,,,,,,,1539,-1268,FALSE,,TRUE
CLUBQ,,,,,,,,,3700,0,FALSE,,TRUE
SIOX/RT,,,,,,,,,327,0,FALSE,,TRUE
OTIC,,,,,,,,,30602,0,FALSE,,TRUE
ANWWQ,,,,,,,,,98911,0,TRUE,,TRUE
BCCS,,,,,,,,,50,0,FALSE,,TRUE
ARLZQ,,,,,,,,,73091,0,TRUE,,TRUE
BOXDQ,,,,,,,,,53073,-200,FALSE,,TRUE
AMPYW,,,,,,,,,0,0,TRUE,,TRUE
LGND/RT,,,,,,,,,0,-2676,FALSE,,TRUE
ACER/RT,,,,,,,,,24607,-355,FALSE,,TRUE
SAVAW,,,,,,,,,0,0,TRUE,,TRUE
CXDC,,,,,,,,,44610,0,FALSE,,TRUE
SDRLF,,,,,,,,,22,0,FALSE,,TRUE
AMJ,,,,,,,,,0,-200,FALSE,,TRUE
FUSN/RT,,,,,,,,,39979,-1438,FALSE,,TRUE
ALBO/R,,,,,,,,,1775,0,FALSE,,TRUE
MACK,,,,,,,,,0,-11583,FALSE,,TRUE
FTHWF,,,,,,,,,46,0,FALSE,,TRUE
TTPH/RT,,,,,,,,,601,0,FALSE,,TRUE
AGTC/RT,,,,,,,,,4080,0,FALSE,,TRUE
JENGQ,,,,,,,,,1267,-18,FALSE,,TRUE
DWTX/RT,,,,,,,,,49,0,FALSE,,TRUE
CIEIQ,,,,,,,,,45854,-404,TRUE,,TRUE
RFP/RT,,,,,,,,,12229,-13562,TRUE,,TRUE
ATLS,,,,,,,,,6980,0,FALSE,,TRUE
MMTLP/RT,,,,,,,,,0,-7978,FALSE,,TRUE
INBX/RT,,,,,,,,,14368,0,FALSE,,TRUE
GRCL/RT,,,,,,,,,12160,0,FALSE,,TRUE
EPZM/RT,,,,,,,,,92839,0,FALSE,,TRUE
SBT,,,,,,,,,0,-64,FALSE,,TRUE
BFICQ,,,,,,,,,600,-300,FALSE,,TRUE
GTTN/RT,,,,,,,,,3914,0,TRUE,,TRUE
BCTX/PH,,,,,,,,,11588,-184496,TRUE,,TRUE
KDNY/RTS,,,,,,,,,7134,-671,FALSE,,TRUE
XINGF,,,,,,,,,0,-19,FALSE,,TRUE
ZYNE/RT,,,,,,,,,6374,-14030,TRUE,,TRUE
PSTH/WS,,,,,,,,,20234,-6200,TRUE,,TRUE
QTTB/RT,,,,,,,,,0,-209,FALSE,,TRUE
VALPQ,,,,,,,,,343771,-142622,TRUE,,TRUE
CCIHY,,,,,,,,,4500,0,FALSE,,TRUE
AKAOQ,,,,,,,,,20981,-3500,FALSE,,TRUE
