Fee,Stock,Rate,Adjusted Float,Lender Count,Borrow Status,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price
0.25,MSFT,4.08,1959109551,55,GC,4.08,0,41640,-73944,TRUE,498.84
,MSFT,7/7/2025,4.08,1959109551,55,GC,,,,,
,MSFT,7/3/2025,4.08,1811414546,47,GC,,,,,
,MSFT,7/2/2025,4.08,1798543630,45,GC,,,,,
,MSFT,7/1/2025,4.08,1795161521,43,GC,,,,,
,MSFT,6/30/2025,4.08,1832544834,44,GC,,,,,
,MSFT,6/27/2025,4.08,1682046713,47,GC,,,,,
,MSFT,6/26/2025,4.08,1830544842,38,GC,,,,,
,MSFT,6/25/2025,4.08,1834248615,48,GC,,,,,
,MSFT,6/24/2025,4.08,1825895737,46,GC,,,,,
,MSFT,6/23/2025,4.08,1826076388,49,GC,,,,,
,MSFT,6/20/2025,4.08,1964354916,49,GC,,,,,
,MSFT,6/18/2025,4.08,1822742040,47,GC,,,,,
,MSFT,6/17/2025,4.08,1643349062,47,GC,,,,,
,MSFT,6/16/2025,4.08,1645325993,46,GC,,,,,
,MSFT,6/13/2025,4.08,1650555379,46,GC,,,,,
,MSFT,6/12/2025,4.08,1648779720,43,GC,,,,,
,MSFT,6/11/2025,4.08,1650603742,45,GC,,,,,
,MSFT,6/10/2025,4.08,1651737843,49,GC,,,,,
,MSFT,6/9/2025,4.08,1652472836,48,GC,,,,,
0.25,T,4.08,1527232800,42,GC,4.08,0,46194,-85283,TRUE,28.36
,T,7/7/2025,4.08,1527232800,42,GC,,,,,
,T,7/3/2025,4.08,1364380269,39,GC,,,,,
,T,7/2/2025,4.08,1367735261,38,GC,,,,,
,T,7/1/2025,4.08,1362351710,36,GC,,,,,
,T,6/30/2025,4.08,1402228848,40,GC,,,,,
,T,6/27/2025,4.08,1402377089,41,GC,,,,,
,T,6/26/2025,4.08,1444377502,35,GC,,,,,
,T,6/25/2025,4.08,1451229834,44,GC,,,,,
,T,6/24/2025,4.08,1443275617,46,GC,,,,,
,T,6/23/2025,4.08,1447144719,41,GC,,,,,
,T,6/20/2025,4.08,1606553890,46,GC,,,,,
,T,6/18/2025,4.08,1450252980,44,GC,,,,,
,T,6/17/2025,4.08,1387853743,45,GC,,,,,
,T,6/16/2025,4.08,1390117015,44,GC,,,,,
,T,6/13/2025,4.08,1388236399,46,GC,,,,,
,T,6/12/2025,4.08,1386002534,43,GC,,,,,
,T,6/11/2025,4.08,1385309957,44,GC,,,,,
,T,6/10/2025,4.08,1385523837,43,GC,,,,,
,T,6/9/2025,4.08,1385077178,43,GC,,,,,
0.25,GOOGL,4.08,1460051454,52,GC,4.08,0,20054,-58293,TRUE,179.53
,GOOGL,7/7/2025,4.08,1460051454,52,GC,,,,,
,GOOGL,7/3/2025,4.08,1345464275,47,GC,,,,,
,GOOGL,7/2/2025,4.08,1345393661,44,GC,,,,,
,GOOGL,7/1/2025,4.08,1335594535,42,GC,,,,,
,GOOGL,6/30/2025,4.08,1367052596,42,GC,,,,,
,GOOGL,6/27/2025,4.08,1331639879,47,GC,,,,,
,GOOGL,6/26/2025,4.08,1382114490,39,GC,,,,,
,GOOGL,6/25/2025,4.08,1396135390,47,GC,,,,,
,GOOGL,6/24/2025,4.08,1389629637,49,GC,,,,,
,GOOGL,6/23/2025,4.08,1400281186,46,GC,,,,,
,GOOGL,6/20/2025,4.08,1512298896,50,GC,,,,,
,GOOGL,6/18/2025,4.08,1398925105,45,GC,,,,,
,GOOGL,6/17/2025,4.08,1237969274,45,GC,,,,,
,GOOGL,6/16/2025,4.08,1240615890,47,GC,,,,,
