Stock,Report Date,Rate,Adjusted Float,Lender Count,Borrow Status,Last Report Date,Last Rate,Change in Rate,Firm Long,Firm Short,Intrafirm?,Close Price,IsFilterMatch
TNFA,45831,-43.6751,230355,8,HTB,45828,-333.1388,289.4637,324,0,FALSE,0.1395,TRUE
IMNN,45831,-482.3343,589601,9,HTB,45828,-591.1612,108.8269,129,0,FALSE,1.02,TRUE
SBET,45831,-191.8091,592686,11,HTB,45828,-265.9918,74.1827,5463,0,TRUE,9.85,TRUE
SLE,45831,3.3301,1,,HTB,45828,-59.9188,63.2489,51,0,FALSE,0.1081,TRUE
KZIA,45831,-716.3539,3710,4,HTB,45828,-773.9017,57.5478,0,0,FALSE,9.15,TRUE
HEPA,45831,-31.1267,159721,9,HTB,45828,-77.4297,46.303,3,0,FALSE,0.08,TRUE
AUMN,45831,-5.2405,378084,8,HTB,45828,-40.567,35.3265,236,0,FALSE,0.1899,TRUE
CASI,45831,-4.3767,78453,11,HTB,45828,-37.7027,33.326,0,0,FALSE,1.325,TRUE
CARM,45831,-161.5547,633436,8,HTB,45828,-190.9977,29.443,2230,0,FALSE,0.4411,TRUE
STEM,45831,0.1135,1,,HTB,45828,-28.5397,28.6532,33176,-1080,TRUE,0.4182,TRUE
RVYL,45831,-199.2531,332471,8,HTB,45828,-226.1824,26.9293,0,-1044,FALSE,0.79,TRUE
CAPT,45831,-204.6363,35937,8,HTB,45828,-231.3035,26.6672,6185,0,FALSE,1.17,TRUE
LAES,45831,-58.694,530857,15,HTB,45828,-81.332,22.638,276209,-40287,TRUE,3.95,TRUE
CRWV,45831,-135.88,4401,11,HTB,45828,-155.79,19.91,199672,-408469,TRUE,183.58,TRUE
CONI,45831,-29.7782,41638,5,HTB,45828,-48.3849,18.6067,5400,0,FALSE,3.38,TRUE
LVWR,45831,-283.4051,164164,16,HTB,45828,-301.1302,17.7251,8874,-17091,TRUE,5.49,TRUE
VIVS,45831,-91.7709,39159,17,HTB,45828,-109.3416,17.5707,0,0,FALSE,1.46,TRUE
CBIO,45831,3.3301,1,,HTB,45828,-13.3357,16.6658,241,0,FALSE,15,TRUE
RDHL,45831,-109.8025,27506,9,HTB,45828,-125.8038,16.0013,11,0,FALSE,1.9,TRUE
INTW,45831,4.08,10152,6,GC,45828,-10.1425,14.2225,2100,0,FALSE,17.62,TRUE
OMGAQ,45831,-47.9959,597910,8,HTB,45828,-61.7649,13.769,15900,0,FALSE,0.02,TRUE
TTCFQ,45831,-22.246,1556212,7,HTB,45828,-33.6889,11.4429,100045,-4492,FALSE,0.0001,TRUE
NVOX,45831,0.5128,6924,3,HTB,45828,-10.8096,11.3224,0,0,FALSE,7.37,TRUE
BATL,45831,-208.8129,37138,10,HTB,45828,-219.1865,10.3736,76,0,FALSE,2.43,TRUE
SLS,45831,-6.9209,236,6,HTB,45828,-16.8818,9.9609,156267,-890032,TRUE,1.54,TRUE
MVO,45831,-75.3202,3002,8,HTB,45828,-85.182,9.8618,10549,-889,FALSE,5.82,TRUE
TSMY,45831,4.08,5759,6,GC,45828,-5.2729,9.3529,0,0,FALSE,15.51,TRUE
LMBO,45831,0.5128,90,3,HTB,45828,-8.6029,9.1157,0,0,FALSE,20.02,TRUE
SETH,45831,-30.4893,1439,5,HTB,45828,-39.0296,8.5403,0,0,FALSE,16.15,TRUE
KDEF,45831,-81.3754,3559,7,HTB,45828,-89.8962,8.5208,0,0,FALSE,42.24,TRUE
APPX,45831,0.5128,4312,4,HTB,45828,-7.4961,8.0089,220,0,FALSE,33.98,TRUE
SMDD,45831,0.5128,1,4,HTB,45828,-6.9971,7.5099,0,0,FALSE,17.01,TRUE
TRX,45831,-8.0531,1646214,8,HTB,45828,-15.4669,7.4138,17791,0,FALSE,0.334,TRUE
FENG,45831,0.0338,42312,10,HTB,45828,-7.185,7.2188,0,-40,FALSE,2.01,TRUE
GNS,45831,-19.5611,1281213,2,HTB,45828,-26.7217,7.1606,896,0,FALSE,0.546,TRUE
